,r5_18,r5_19,r5_20,r7_18,r7_19,r7_20,r14_18,r14_19,r14_20,18,19,20
2020-03-31,,80.21963468006354,48.75909644264807,,74.35952929425902,50.888565428976506,,76.74405351587087,49.45186481725474,,79.01180284052428,32.32824740048877
2020-04-01,,78.17741231440097,47.68701708843004,,77.66797172901317,51.619360078106006,,77.54786753725121,51.13483760689979,,63.75664004561617,63.045826163795475
2020-04-02,,75.64186059161928,42.406200576092544,,77.47580224098897,50.020194942688626,,77.01836809733165,50.054267356410605,,,43.30005622178451
2020-04-03,,72.90517733167121,40.930753479942965,,78.17741231440097,43.543649545711524,,77.06155533597854,47.92440341915762,,,23.07040515604595
2020-04-04,,57.916448501542014,39.45514990775378,,66.70966899699253,38.66180323330899,,72.26383372724816,47.039175646121656,,30.980902618485572,35.5312145966542
2020-04-05,35.17230363184283,56.48978124498253,39.39942636740575,35.17230363184283,64.88564713686901,38.89065881358824,35.17230363184283,67.028036697385,47.47992782232365,35.17230363184283,74.73180107084586,32.04962969874865
2020-04-06,35.17230363184283,52.528221722940394,30.79114422341907,35.17230363184283,60.070621610992326,35.61854209733995,35.17230363184283,66.75944293476364,45.519392146416905,,51.87196147948975,20.00441544386207
2020-04-07,35.17230363184283,46.12570198596237,29.401351510647306,35.17230363184283,49.65188959789313,36.19323427697378,35.17230363184283,64.06467942077323,43.540899852975144,,26.918142775028315,36.35109265792564
2020-04-08,35.17230363184283,52.089408050360944,33.4205096270825,35.17230363184283,52.089408050360944,33.353287073320416,35.17230363184283,67.01023686290806,42.48632357571322,,75.94423230795523,43.16619573822193
2020-04-09,35.17230363184283,57.33377719250884,34.68619014758438,35.17230363184283,52.94163143017163,33.14751007008886,35.17230363184283,65.20871683558029,41.58385250638874,,57.20274832922506,41.859617199163615
2020-04-10,,48.53078385643888,37.18129618491095,35.17230363184283,49.76666042450369,36.21247503142252,35.17230363184283,61.60447371196088,39.87806228856702,,30.716834390496057,44.525159885381505
2020-04-11,,56.55284852248544,38.871838361047104,35.17230363184283,58.4811435946804,35.201890992549465,35.17230363184283,61.90969584564379,36.931847112929226,,91.98228480972253,28.45712632454287
2020-04-12,,68.73635259714548,35.85526974692828,,60.353123891463646,33.661693833775594,35.17230363184283,62.24167524371587,36.27617632368191,,87.83566314832854,21.268249587331496
2020-04-13,,69.9989426581109,32.782050696949035,,64.69386976764831,34.775363125841814,35.17230363184283,62.76751636904165,35.19695261159088,,82.2571826127824,27.800100488325683
2020-04-14,,70.44677210906819,31.25264138094327,,69.3401201689316,34.46985997744313,35.17230363184283,61.136690764332236,35.33154712720846,,59.44189558401141,34.21257061913479
2020-04-15,,80.37925653871123,29.96694856104069,,68.23943481242766,33.74564569853551,35.17230363184283,60.89851355694279,33.54946638592797,,,38.09669578586863
2020-04-16,63.8937645812335,76.51158044837412,31.989099539403515,63.8937645812335,70.44677210906819,33.27539770099171,49.53303410653817,60.89851355694279,33.21145388554029,63.8937645812335,,38.56788121635697
2020-04-17,58.49834068320213,71.12850436395904,37.15721670976308,58.49834068320213,78.64069220998564,33.64449420866996,50.722994999415704,61.79750700178783,34.92848462004624,53.10291678517077,71.68643489508328,47.10883543912931
2020-04-18,56.50500188910407,70.33631608567265,37.37264179414031,56.50500188910407,76.22035880362577,33.70450843519411,51.171827324788765,65.87248326507431,34.45319971387179,52.51832430090794,79.88061777792325,28.87722591021184
2020-04-19,62.24339074154325,82.6359504044124,37.80348677746217,62.24339074154325,77.9213858820062,35.861443570681615,62.24339074154325,67.67323305418971,34.7615687022286,79.45855729886078,96.34079854023068,36.36679553574409
2020-04-20,65.3775190390269,78.95593972746133,39.677531335434125,65.3775190390269,75.05313089877134,38.67098901173915,65.3775190390269,69.01022857228291,36.72317606879049,77.91403222896143,67.91590769660814,47.46691857572839
2020-04-21,63.24484025634273,72.86946265734568,45.944436893697294,63.3529943104912,72.86946265734568,43.769537352958864,63.3529943104912,70.81067953910413,39.119698665201,53.23037066781276,48.523554376883034,69.90240900767282
2020-04-22,59.659940526716596,70.15397068203859,47.53319495562168,59.32805485714103,70.40938138421271,46.19181306194209,59.32805485714103,69.32440809832018,39.968729380238806,35.178418137040076,58.10897501854787,55.052625748751275
2020-04-23,59.90923956605851,60.36391170181862,52.11211377325874,57.881062702338745,64.76951588315708,48.07809003080498,58.632650437200596,67.13503931062006,40.67674386589834,53.76481949761753,30.93032287682338,51.771819998397106
2020-04-24,54.235808846103325,45.61177622314698,52.734680762999666,57.593703690040755,57.754328204841265,46.98820360870775,57.79473413296551,66.4569798736514,40.31634890868886,51.09140369908482,22.580121146872496,39.479630484448755
2020-04-25,44.2982768937082,34.169138143041195,52.270809449348214,54.123424856623316,47.871770993149255,49.31253733688765,54.83789796636754,59.68368258084781,41.50852288604087,28.226372466985804,10.702717296079193,45.147562007471116
2020-04-26,42.065253450182055,31.035404547569055,45.917997835515166,49.90090278291708,38.80235497304807,49.56561668013957,54.83789796636754,55.101951185113954,42.7135301254106,,32.85488639952234,38.13835093850757
2020-04-27,45.121832130320456,21.924756575956614,41.249900101755266,44.81601955435578,30.893758896459136,47.31493360931434,54.162155683751735,49.2934972307559,42.992961310526745,47.404732857593686,12.555735160485657,31.71213707995175
2020-04-28,42.24083634122144,22.76231032172848,33.629220278767356,43.13314933166438,28.978692786287663,39.28150673442645,54.162155683751735,47.26651356589517,41.52552204369265,,35.11809160568272,13.668420883457578
2020-04-29,37.81555266228975,27.158137900681332,32.166617727347,45.121832130320456,27.04301907530036,36.65298689870565,54.162155683751735,47.05826321787529,41.789277909679114,,44.559259041636736,
2020-04-30,47.404732857593686,40.98863318742914,23.395633790556058,42.24083634122144,34.03228634001391,29.701621275690684,53.18899479400356,49.4009011115855,39.596642913059924,,79.85519372981824,10.063626260307343
