date,r5_18,r5_19,r5_20,r7_18,r7_19,r7_20,r14_18,r14_19,r14_20,18,19,20
04-04-2020,,90.2573214,52.97179993,,109.3812384,42.90483003,,83.08043408,58.96585718,,128.8428366,79.06284875
05-04-2020,18.83321086,105.5553852,52.14433748,18.83321086,98.36647474,48.71475286,18.83321086,79.01362817,60.68324725,18.83321086,97.76992913,55.4046269
06-04-2020,18.83321086,127.1180802,58.37523769,18.83321086,104.8343592,59.79513145,18.83321086,90.10899943,60.32200026,,170.2069402,98.30229357
07-04-2020,18.83321086,112.4807491,64.17826611,18.83321086,107.5886286,60.2170709,18.83321086,90.28444295,56.79747271,,53.10329041,62.49551528
08-04-2020,18.83321086,111.6033913,75.31919078,18.83321086,111.6115953,62.24319616,18.83321086,98.20702425,55.19354647,,108.0939603,81.33066939
09-04-2020,18.83321086,97.57754344,69.16931549,18.83321086,102.7884256,64.36221032,18.83321086,98.93603658,53.63487329,,58.71359718,48.31347233
10-04-2020,,92.04885284,69.70273008,18.83321086,98.12243285,68.99730372,18.83321086,101.191802,52.6690533,,70.12647611,58.07169985
11-04-2020,,72.2173955,60.70649182,18.83321086,89.86626383,65.31991137,18.83321086,98.87317516,54.1123707,,71.04965352,53.32110227
12-04-2020,,71.9384432,63.38182886,,83.2860638,68.24385045,18.83321086,90.24625347,58.47930165,,51.7085289,75.87220048
13-04-2020,,58.13055198,51.14593551,,64.55000151,57.07940889,18.83321086,83.14278196,58.43727017,,39.05450419,20.15120261
14-04-2020,,55.76210159,48.20943954,,63.65972363,52.95590563,18.83321086,83.93460284,56.58648826,,46.87134525,33.63099248
15-04-2020,72.91859604,52.17100796,60.14472233,72.91859604,56.25401752,58.15839769,45.87590345,83.9328064,60.20079692,72.91859604,,117.7481138
16-04-2020,70.64389284,70.12720445,73.00727591,70.64389284,70.28082458,68.06131167,53.37366552,86.53462511,66.211761,68.36918965,142.8744395,117.6338702
17-04-2020,86.97431638,88.37509359,66.18912568,86.97431638,79.37642613,65.73413302,69.93904,89.47042975,67.36571837,119.6351635,124.7000854,41.78144931
18-04-2020,102.4440107,100.9810337,75.80574916,102.4440107,82.44786129,67.8645927,85.72185072,86.44238574,66.59225203,148.8530936,89.47826451,68.23432002
19-04-2020,113.8711061,115.7332194,78.69667243,113.8711061,91.4764545,63.8950796,113.8711061,87.06624412,66.06946503,159.5794877,105.8800881,48.08560881
20-04-2020,131.2610126,108.8830456,65.64011129,121.5372765,98.54776223,68.51138039,121.5372765,80.24127569,62.79539464,159.8681285,81.4823506,52.46530811
21-04-2020,128.151954,92.95606686,51.94109791,111.7210794,101.2757956,70.72678194,111.7210794,81.02098763,61.84134378,52.823897,63.23954561,49.13880332
22-04-2020,122.4821783,80.01065565,54.71167408,114.345035,95.37540045,61.85338427,109.1667301,77.31937756,60.00589098,91.28628485,59.9730294,55.63433016
23-04-2020,102.9832973,74.31661931,60.54591696,111.9149634,83.68020664,58.96362202,102.7436144,77.49587646,63.51246684,51.35868848,61.00808281,97.40553441
24-04-2020,78.5741992,65.60300516,60.92426549,100.1862253,74.76762549,60.13446518,96.22265265,76.89476425,62.9342991,37.53399721,62.31201738,49.97735148
25-04-2020,55.22554791,65.09890317,57.26148474,85.08219367,73.26527922,55.26547723,91.39558168,77.50339403,61.56503497,43.124872,78.96184066,34.15140435
26-04-2020,55.82596064,62.65836556,57.15405961,72.665978,65.430532,55.33920135,91.39558168,77.451727,59.61714048,,51.03685755,48.60167765
27-04-2020,44.89991055,57.99033993,66.16347012,53.95163734,59.02346781,62.22721201,87.74445692,77.26544985,65.3692962,47.58208451,36.63290126,100.6813827
28-04-2020,42.74698457,56.32335927,58.35295404,54.17718541,57.51398694,64.40861346,87.74445692,77.71174479,67.81070418,,52.6731795,
29-04-2020,45.35347826,54.73903707,56.06086868,44.89991055,56.71646937,61.93772676,89.09226245,76.04593491,61.89231158,,54.39040641,40.80901
30-04-2020,47.58208451,48.68333618,53.93548295,42.74698457,56.00120046,49.97844794,91.16456973,70.90528071,54.8166186,,,25.64986143
01-05-2020,52.67477751,59.68739486,48.8648464,49.49147568,61.45804627,46.3687446,84.97780044,68.62474277,53.78105568,57.76747051,95.05309226,28.31913145
02-05-2020,69.15158055,57.79142083,32.13494242,61.96174854,53.13924035,46.30380501,78.14606013,63.97633821,51.12932082,80.53569058,29.04900515,33.7617668
03-05-2020,66.33196848,48.74161903,35.12539402,61.64449749,47.37875948,46.05139214,68.2573858,57.09894468,51.05252018,60.69274434,16.47397228,47.08720044
04-05-2020,73.915467,39.78661568,34.99677497,73.915467,44.36834144,35.96548081,61.93716921,52.25956333,50.10641299,96.66596258,18.57039303,40.16591474
05-05-2020,71.7407225,36.71250149,36.74242295,71.7407225,39.65881897,35.73871231,62.95895395,49.27314018,48.97097438,63.04174447,24.4160447,34.37810131
06-05-2020,71.86502687,25.06932049,46.01946581,69.51543415,36.73328245,40.58090313,59.66922471,47.49346002,50.43789865,58.38899239,36.83718727,74.70434575
07-05-2020,79.056881,32.00782957,61.23209287,76.22679516,40.59160647,52.60590894,66.18285198,47.70372677,51.39323463,116.4949612,63.74155057,109.8249021
